ID	parentID	scientificName	kingdom	phylum	class	order	family	genus	rank	status
810		Galumnidae	Animalia	Arthropoda	Acari	Oribatida	Galumnidae		family	accepted
811		Pilogalumna tenuiclava	Animalia	Arthropoda	Acari	Oribatida	Galumnidae	Pilogalumna	species	accepted
812		Acrogalumna longipluma	Animalia	Arthropoda	Acari	Oribatida	Galumnidae	Acrogalumna	species	accepted
813		Galumna elimata	Animalia	Arthropoda	Acari	Oribatida	Galumnidae	Galumna	species	accepted
814		Galumna lanceata	Animalia	Arthropoda	Acari	Oribatida	Galumnidae	Galumna	species	accepted
815		Pergalumna nervosa	Animalia	Arthropoda	Acari	Oribatida	Galumnidae	Pergalumna	species	accepted
816		Uropodina	Animalia	Arthropoda	Acari	Uropodina			order	accepted
817		Trematuridae	Animalia	Arthropoda	Acari	Uropodina	Trematuridae		family	accepted
818		Trichouropoda ovalis	Animalia	Arthropoda	Acari	Uropodina	Trematuridae	Trichouropoda	species	accepted
819		Trichouropoda orbicularis	Animalia	Arthropoda	Acari	Uropodina	Trematuridae	Trichouropoda	species	accepted
820		Trichouropoda pecinaituberosa	Animalia	Arthropoda	Acari	Uropodina	Trematuridae	Trichouropoda	species	accepted
821		Nenteria stylifera	Animalia	Arthropoda	Acari	Uropodina	Trematuridae	Nenteria	species	accepted
822		Nenteria floralis	Animalia	Arthropoda	Acari	Uropodina	Trematuridae	Nenteria	species	accepted
823		Nenteria stammeri	Animalia	Arthropoda	Acari	Uropodina	Trematuridae	Nenteria	species	accepted
824		Nenteria breviunguiculata	Animalia	Arthropoda	Acari	Uropodina	Trematuridae	Nenteria	species	accepted
825		Urodinychidae	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae		family	accepted
826		Dinychus undulatus	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae	Dinychus	species	accepted
827		Dinychus bincheaecarinatus	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae	Dinychus	species	accepted
828		Dinychus inermis	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae	Dinychus	species	accepted
829		Uroobovella pulchella	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae	Uroobovella	species	accepted
830		Uroobovella pyriformis	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae	Uroobovella	species	accepted
831		Uroobovella marginata	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae	Uroobovella	species	accepted
832		Uroobovella difoveolata	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae	Uroobovella	species	accepted
833		Uroobovella rackei	Animalia	Arthropoda	Acari	Uropodina	Urodinychidae	Uroobovella	species	accepted
834		Uropodidae	Animalia	Arthropoda	Acari	Uropodina	Uropodidae		family	accepted
835		Uropoda minima	Animalia	Arthropoda	Acari	Uropodina	Uropodidae	Uropoda	species	accepted
836		Uropoda orbicularis	Animalia	Arthropoda	Acari	Uropodina	Uropodidae	Uropoda	species	accepted
837		Phaulodinychus repleta	Animalia	Arthropoda	Acari	Uropodina	Uropodidae	Phaulodinychus	species	accepted
838		Phaulodinychus undulata	Animalia	Arthropoda	Acari	Uropodina	Uropodidae	Phaulodinychus	species	accepted
839		Phaulodinychus vitzthumi	Animalia	Arthropoda	Acari	Uropodina	Uropodidae	Phaulodinychus	species	accepted
840		Phaulodinychus	Animalia	Arthropoda	Acari	Uropodina	Uropodidae	Phaulodinychus	genus	accepted
841		Gamasina	Animalia	Arthropoda	Acari	Gamasina			cohort	accepted
842		Alliphis siculus	Animalia	Arthropoda	Acari	Gamasina	Eviphididae	Alliphis	species	accepted
843		Macrochelidae	Animalia	Arthropoda	Acari	Gamasina	Macrochelidae		family	accepted
844		Holostaspella ornatus	Animalia	Arthropoda	Acari	Gamasina	Macrochelidae	Holostaspella	species	accepted
845		Macrocheles vernalis	Animalia	Arthropoda	Acari	Gamasina	Macrochelidae	Macrocheles	species	accepted
846		Macrocheles glaber	Animalia	Arthropoda	Acari	Gamasina	Macrochelidae	Macrocheles	species	accepted
847		Macrocheles matrius	Animalia	Arthropoda	Acari	Gamasina	Macrochelidae	Macrocheles	species	accepted
848		Macrocheles muscaedomesticae	Animalia	Arthropoda	Acari	Gamasina	Macrochelidae	Macrocheles	species	accepted
849		Pachylaelaps magnus	Animalia	Arthropoda	Acari	Gamasina	Macrochelidae	Pachylaelaps	species	accepted
850		Hypoaspis aculeifer	Animalia	Arthropoda	Acari	Gamasina	Dermanyssidae	Hypoaspis	species	accepted
851		Androlaelaps casalis	Animalia	Arthropoda	Acari	Gamasina	Dermanyssidae	Androlaelaps	species	accepted
852		Ameroseiidae	Animalia	Arthropoda	Acari	Gamasina	Ameroseiidae		family	accepted
853		Ameroseius plumosus	Animalia	Arthropoda	Acari	Gamasina	Ameroseiidae	Ameroseius	species	accepted
854		Proctolaelaps pygmaeus	Animalia	Arthropoda	Acari	Gamasina	Ameroseiidae	Proctolaelaps	species	accepted
855		Neojordensia levis	Animalia	Arthropoda	Acari	Gamasina	Podocinidae	Neojordensia	species	accepted
856		Ascidae	Animalia	Arthropoda	Acari	Gamasina	Ascidae		family	accepted
857		Sejus borealis	Animalia	Arthropoda	Acari	Gamasina	Ascidae	Sejus	species	accepted
858		Sejus necorniger	Animalia	Arthropoda	Acari	Gamasina	Ascidae	Sejus	species	accepted
859		Sejus mutilus	Animalia	Arthropoda	Acari	Gamasina	Ascidae	Sejus	species	accepted
860		Zerconidae	Animalia	Arthropoda	Acari	Gamasina	Zerconidae		family	accepted
861		Eugamasidae	Animalia	Arthropoda	Acari	Gamasina	Eugamasidae		family	accepted
862		Pergamasus crassipes	Animalia	Arthropoda	Acari	Gamasina	Eugamasidae	Pergamasus	species	accepted
863		Pergamasus vagabundus	Animalia	Arthropoda	Acari	Gamasina	Eugamasidae	Pergamasus	species	accepted
864		Veigaia nemorensis	Animalia	Arthropoda	Acari	Gamasina	Eugamasidae	Veigaia	species	accepted
865		Pyroglyphidae	Animalia	Arthropoda	Acari	Actinedida	Pyroglyphidae		family	accepted
866		Cheyletidae	Animalia	Arthropoda	Acari	Actinedida	Cheyletidae		family	accepted
867		Acarididae	Animalia	Arthropoda	Acari	Actinedida	Acarididae		family	accepted
