nameID	kingdom	phylum	class	order	family	genus
1416	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Salmo
1417	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	
1420	Animalia	Arthropoda	Insecta	Coleoptera	Scirtidae	
1421	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Scopaeus
1422	Animalia	Ectoprocta	Gymnolaemata	Cheilostomatida	Candidae	Scrupocellaria
1425	Animalia	Arthropoda	Insecta	Coleoptera	Scydmaenidae	
1426	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Sepedophilus
1427	Animalia	Arthropoda	Insecta	Diptera	Sepsidae	
1428	Animalia	Annelida	Polychaeta	Sabellida	Serpulidae	
1429	Animalia	Arthropoda	Insecta	Coleoptera	Silphidae	Silpha
1430	Animalia	Arthropoda	Insecta	Coleoptera	Byrrhidae	Simplocaria
1431	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Sitona
1432	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Sitophilus
1433	Animalia	Arthropoda	Insecta	Phthiraptera	Linognathidae	Solenopotes
1434	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Sphaeridium
1435	Animalia	Arthropoda	Insecta	Coleoptera	Hydrophilidae	Sphaeridium
1436	Animalia	Annelida	Polychaeta	Sabellida	Serpulidae	Spirorbis
1437	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	
1438	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Staphylinus
1439	Animalia	Arthropoda	Insecta	Coleoptera	Anobiidae	Stegobium
1440	Animalia	Arthropoda	Insecta	Coleoptera	Scydmaenidae	Stenichnus
1441	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Stenus
1442	Animalia	Arthropoda	Insecta	Coleoptera	Phalacridae	Stilbus
1443	Animalia	Arthropoda	Insecta	Coleoptera	Phalacridae	Stilbus
1444	Animalia	Chordata	Aves	Strigiformes	Strigidae	
1446	Animalia	Arthropoda	Insecta	Coleoptera	Byrrhidae	Syncalypta
1447	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Synuchus
1448	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Tachinus
1449	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Tachyporus
1450	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Tanysphyrus
1451	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Thryogenes
1452	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Trechus
1453	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Trichocellus
1454	Animalia	Arthropoda	Insecta	Trichoptera		
1457	Animalia	Nematoda	Adenophorea	Enoplida	Trichuridae	Trichuris
1458	Animalia	Nematoda	Adenophorea	Enoplida	Trichuridae	Trichuris
1459	Animalia	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Trigla
1460	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Trissemus
1461	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Tychius
1462	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Tychus
1464	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Xantholinus
1465	Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Xylodromus
1466	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela
1467	Animalia	Chordata	Mammalia	Proboscidea	Elephantidae	
1468	Animalia	Chordata				
1469	Animalia	Chordata	Aves	Anseriformes	Anatidae	Cygnus
1470	Animalia	Chordata	Aves	Pelecaniformes	Ardeidae	Egretta
1471	Animalia	Mollusca	Bivalvia	Nuculoida	Nuculidae	Nucula
1472	Animalia	Chordata	Mammalia	Carnivora		
1473	Animalia	Arthropoda	Chilopoda			
1474	Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	Enicmus
1475	Animalia	Chordata	Mammalia	Carnivora	Felidae	
1476	Animalia	Chordata	Aves	Galliformes	Phasianidae	
1477	Animalia	Annelida	Polychaeta	Sabellida	Serpulidae	Serpula
1478	Animalia	Arthropoda	Malacostraca	Decapoda		
1479	Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae	Latridius
1480	Animalia	Mollusca	Gastropoda	Pulmonata		
1481	Animalia	Chordata	Reptilia	Squamata		
1482	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	
1483	Animalia	Chordata	Mammalia	Carnivora	Canidae	
1484	Animalia	Chordata	Actinopterygii	Pleuronectiformes		
1485	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Plateumaris
1486	Animalia	Chordata	Mammalia	Insectivora	Soricidae	Sorex
1487	Animalia	Mollusca	Bivalvia	Pectinoida	Pectinidae	Pecten
1491	Animalia	Chordata	Aves	Charadriiformes	Stercorariidae	Stercorarius
1492	Animalia	Chordata	Aves	Charadriiformes	Stercorariidae	Stercorarius
1494	Animalia	Chordata	Aves	Charadriiformes	Laridae	Thalasseus
1501	Animalia		Gastropoda	Neogastropoda	Conidae	Conus
1502	Animalia		Gastropoda	Neotaenioglossa	Cypraeidae	Cypraea
1504	Animalia		Actinopterygii	Acipenseriformes	Acipenseridae	Acipenser
1507	Animalia		Bivalvia	Veneroida	Sphaeriidae	Pisidium
1508	Animalia		Bryozoa	Plumatellida	Cristatellidae	Cristatella
1510	Animalia		Demospongiae	Haplosclerida	Spongillidae	Spongilla
1511	Animalia		Gastropoda	Chitonida	Tonicellidae	Lepidochitona
1512	Animalia		Gastropoda	Neotaenioglossa	Hydrobiidae	Peringia
1513	Animalia		Polychaeta	Terebellida	Pectinariidae	Lagis
1514	Animalia		Foraminifera			indet
1515	Animalia		Bacillariophyceae			
1517	Animalia		Clitellata	Opisthopora	Lumbricidae	Lumbricidae
1526	Animalia		Aves	Charadriiformes	Laridae	Chlidonias
1527	Animalia	Chordata	Mammalia	Rodentia	Muridae	
1528	Animalia	Chordata	Mammalia	Rodentia	Muridae	
